# id	название	описание — русский перевод CWE (MITRE cwec_v4.14)
5	Ошибка конфигурации J2EE: передача данных без шифрования	Информация, передаваемая по сети, может быть скомпрометирована при передаче. Атакующий может прочитать или изменить содержимое, если данные передаются открытым текстом или слабо зашифрованы.
6	Ошибка конфигурации J2EE: недостаточная длина идентификатора сессии	Приложение J2EE настроено на использование идентификатора сессии недостаточной длины.
7	Ошибка конфигурации J2EE: отсутствует собственная страница ошибки	Стандартная страница ошибки веб-приложения не должна раскрывать чувствительную информацию о продукте.
8	Ошибка конфигурации J2EE: Entity Bean объявлен как Remote	Когда приложение открывает удалённый интерфейс для entity bean, оно может также открыть методы чтения и записи данных бина. Через них можно читать чувствительную информацию или изменять данные в обход ожиданий приложения, что может привести к другим уязвимостям.
9	Ошибка конфигурации J2EE: слабые права доступа к методам EJB	Если методам EJB назначены повышенные права доступа, атакующий может использовать эти права для эксплуатации продукта.
11	Ошибка конфигурации ASP.NET: сборка отладочного бинарника	Отладочные сообщения помогают атакующему изучить систему и спланировать атаку.
12	Ошибка конфигурации ASP.NET: отсутствует собственная страница ошибки	Приложение ASP.NET должно включать собственные страницы ошибок, чтобы атакующий не мог извлекать информацию из встроенных ответов фреймворка.
13	Ошибка конфигурации ASP.NET: пароль в конфигурационном файле	Хранение пароля открытым текстом в конфигурационном файле даёт доступ к защищённому ресурсу любому, кто может прочитать файл, и делает его лёгкой целью.
14	Удаление компилятором кода очистки буферов	По исходному коду чувствительная память очищается, но оптимизации компилятора оставляют её нетронутой, если она больше не читается (так называемое «удаление мёртвой записи»).
15	Внешнее управление системной или конфигурационной настройкой	Одна или несколько системных настроек или элементов конфигурации могут управляться пользователем извне.
20	Некорректная проверка входных данных	Продукт получает входные данные, но не проверяет или неправильно проверяет, обладают ли они свойствами, необходимыми для безопасной и корректной обработки.
22	Некорректное ограничение пути каталогом («Path Traversal»)	Продукт строит путь к файлу или каталогу внутри ограниченного родительского каталога из внешнего ввода, но не нейтрализует специальные элементы пути, из-за которых путь может указывать за пределы этого каталога.
23	Обход пути через относительный путь	Продукт строит путь, который должен оставаться внутри ограниченного каталога, из внешнего ввода, но не нейтрализует последовательности вроде «..», выводящие за пределы этого каталога.
24	Обход пути: '../filedir'	Продукт строит путь, который должен оставаться внутри ограниченного каталога, из внешнего ввода, но не нейтрализует последовательности «../», выводящие за пределы этого каталога.
25	Обход пути: '/../filedir'	Продукт строит путь, который должен оставаться внутри ограниченного каталога, из внешнего ввода, но не нейтрализует последовательности «/../», выводящие за пределы этого каталога.
26	Обход пути: '/dir/../filename'	Продукт строит путь, который должен оставаться внутри ограниченного каталога, из внешнего ввода, но не нейтрализует последовательности «/dir/../filename», выводящие за пределы этого каталога.
27	Обход пути: 'dir/../../filename'	Продукт строит путь, который должен оставаться внутри ограниченного каталога, из внешнего ввода, но не нейтрализует несколько вложенных последовательностей «../», выводящих за пределы этого каталога.
28	Обход пути: '..\filedir'	Продукт строит путь, который должен оставаться внутри ограниченного каталога, из внешнего ввода, но не нейтрализует последовательности «..\», выводящие за пределы этого каталога.
29	Обход пути: '\..\filename'	Продукт строит путь, который должен оставаться внутри ограниченного каталога, из внешнего ввода, но не нейтрализует последовательности '\..\filename' (ведущий обратный слэш и две точки), выводящие за пределы этого каталога.
30	Обход пути: '\dir\..\filename'	Продукт строит путь, который должен оставаться внутри ограниченного каталога, из внешнего ввода, но не нейтрализует последовательности '\dir\..\filename', выводящие за пределы этого каталога.
31	Обход пути: 'dir\..\..\filename'	Продукт строит путь, который должен оставаться внутри ограниченного каталога, из внешнего ввода, но не нейтрализует последовательности 'dir\..\..\filename' (несколько вложенных обратных слэшей с двумя точками), выводящие за пределы этого каталога.
32	Обход пути: '...' (тройная точка)	Продукт строит путь, который должен оставаться внутри ограниченного каталога, из внешнего ввода, но не нейтрализует последовательности '...' (три точки), выводящие за пределы этого каталога.
33	Обход пути: '....' (множество точек)	Продукт строит путь, который должен оставаться внутри ограниченного каталога, из внешнего ввода, но не нейтрализует последовательности '....' (множество точек), выводящие за пределы этого каталога.
